datetime,slackbus_voltage,demand_mainbus,demand_broad,demand_schlinger,demand_resnick,demand_beckman,demand_braun,rtp,temp,feelslike,humidity,windspeed,solarradiation
2024-11-14T12,"[1179.31, -732.12, -1199.32, -673.61, 20.02, 1405.73]","[329223.9, 161228.42, 318190.84, 159903.53, 333702.8, 161673.58]","[-116096.86, -55746.33, -112776.52, -57647.96, -115893.32, -57584.81]","[-99962.16, -27614.81, -103750.2, -29135.47, -103633.31, -34289.77]","[-9587.88, 1272.49, -4452.66, 73.16, -6249.27, 5089.45]","[-68405.67, -41829.04, -65186.8, -40645.19, -69542.15, -40922.65]","[-34498.76, -36551.18, -37710.49, -33204.3]",5.151303e-05,73.2,73.2,27.44,13.7,562
2024-11-14T13,"[1173.11, -724.43, -1192.81, -674.69, 19.69, 1399.12]","[323391.03, 167159.3, 318353.97, 159406.7, 337548.9, 168220.1]","[-112416.73, -53880.66, -111524.25, -54975.47, -114484.67, -56806.15]","[-101387.65, -30827.22, -103768.94, -27318.33, -109041.76, -33291.38]","[-9637.14, 1394.35, -4815.79, 292.21, -6544.44, 5026.11]","[-64979.5, -44467.49, -64402.46, -39429.42, -71000.43, -43641.94]","[-34281.26, -38600.43, -33190.02, -37238.79, -35752.37, -38687.66]",5.921163e-05,74.3,74.3,27.42,9.4,669
2024-11-14T14,"[1181.65, -727.74, -1198.55, -680.15, 16.91, 1407.9]","[324531.75, 165341.58, 318797.12, 168557.56, 328566.6, 171954.94]","[-114060.13, -55000.03, -110888.12, -57297.79, -113891.27, -56791.96]","[-100366.52, -28310.98, -103411.43, -31065.48, -102824.24, -34688.32]","[-11078.2, 1179.58, -5507.39, -55.69, -7539.69, 5366.9]","[-64610.34, -42041.02, -65498.95, -39251.77, -69371.18, -43720.09]","[-33746.59, -40412.5, -32823.19, -40132.41, -34254.43, -41346.98]",7.299464e-05,75.0,75.0,23.83,13.2,576
2024-11-14T15,"[1189.06, -730.13, -1206.04, -684.42, 16.98, 1414.55]","[327074.8, 167587.17, 326001.28, 164388.66, 338711.7, 174282.64]","[-114047.17, -55090.26, -112114.51, -56202.13, -115377.84, -57082.77]","[-100510.45, -26835.41, -102509.32, -30072.86, -101819.68, -32267.26]","[-11451.2, 1142.61, -5596.78, -376.71, -7506.28, 5434.88]","[-66015.35, -43044.2, -71535.67, -37012.68, -75940.82, -46986.62]","[-34368.6, -42989.63, -33561.17, -39952.04, -37334.8, -42553.89]",4.441606e-05,75.8,75.8,23.61,10.2,430
2024-11-14T16,"[1178.76, -728.4, -1199.67, -678.27, 20.91, 1406.67]","[319391.12, 167018.38, 318313.78, 161268.6, 333925.2, 172224.14]","[-112175.9, -53426.59, -110127.95, -55213.29, -113116.62, -55556.49]","[-101085.65, -29155.92, -106167.78, -26542.66, -109388.92, -34296.83]","[-11934.87, 1480.48, -6259.82, -81.57, -8079.63, 5615.91]","[-59695.42, -43593.35, -62304.43, -38602.08, -67180.41, -45455.85]","[-33836.88, -41574.9, -32799.93, -40090.57, -35441.41, -41719.8]",1.85926e-05,74.9,74.9,23.41,8.2,239
2024-11-14T17,"[1178.95, -728.69, -1199.04, -677.77, 20.09, 1406.46]","[319479.75, 158080.95, 330029.3, 167557.81]","[-112172.45, -53047.99, -110052.81, -54198.91, -113568.03, -54931.15]","[-101542.04, -27798.29, -105529.88, -30259.45, -104804.41, -34710.63]","[-10842.89, 1888.48, -6134.21, 470.21, -7581.48, 5259.3]","[-62519.16, -42462.42, -63096.56, -38105.98, -68456.41, -42953.45]","[-31898.76, -36599.03, -34011.91, -35247.82, -34931.55, -39445.5]",5.185730000000001e-06,73.5,73.5,24.0,10.8,14
2024-11-14T19,"[1174.36, -728.95, -1199.42, -676.92, 25.06, 1405.87]","[342447.3, 167400.97, 347518.9, 166691.31, 357849.9, 180108.33]","[-116024.43, -55249.66, -114730.13, -57600.36, -117413.07, -58189.02]","[-103611.27, -28597.11, -105994.36, -30888.45, -106618.18, -33639.46]","[-10780.06, 2957.9, -7672.27, 1410.37, -8242.83, 4936.78]","[-68525.18, -40935.88, -80987.55, -33831.43, -83572.37, -50230.49]","[-42743.35, -44714.54, -37335.73, -44879.28, -41156.64, -42029.8]",8.48629e-06,67.9,67.9,34.86,7.7,0
2024-11-14T20,"[1174.59, -729.18, -1198.22, -677.01, 23.63, 1406.19]","[333764.78, 165179.9, 348891.2, 169871.55]","[-112553.07, -53572.04, -112320.85, -54193.2]","[-104244.12, -31249.03, -105932.9, -30507.21, -109635.02, -34405.34]","[-10162.85, 2925.56, -7073.62, 1600.57, -7820.55, 4997.16]","[-67154.91, -41810.74, -68987.92, -38728.19, -73134.03, -44004.35]","[-38918.15, -40647.35, -36557.25, -37570.8, -41622.38, -38882.06]",1.395994e-05,66.5,66.5,36.18,5.1,0
2024-11-14T22,"[1182.16, -730.36, -1204.45, -681.62, 22.3, 1411.98]","[338414.28, 169489.75, 343974.8, 158794.66, 361993.5, 177525.56]","[-116159.06, -54292.52, -113743.35, -54301.06, -118808.96, -55002.5]","[-105452.09, -33789.66, -107206.98, -31778.99, -111741.21, -36277.32]","[-9481.17, 2821.99, -7291.06, 2239.34, -8204.31, 4484.3]","[-68986.1, -44460.17, -76114.96, -35953.27, -82345.6, -48445.27]","[-37595.41, -38933.18, -38856.74, -38140.48, -40041.17, -41322.32]",2.154317e-05,61.6,61.6,45.92,3.7,0
2024-11-14T23,"[-1206.62, -685.17, 20.43, 1417.17]","[340128.5, 172476.52, 348573.44, 161441.22, 365972.88, 183559.12]","[-114192.08, -53072.46, -112863.52, -55992.96, -114918.28, -56366.04]","[-107159.57, -34343.57, -110910.13, -31592.13, -115332.23, -38375.89]","[-9650.63, 3165.07, -7318.7, 1865.07, -7693.09, 4591.58]","[-70335.45, -47754.75, -77936.76, -38286.81, -84892.39, -51917.78]","[-38023.88, -39604.74, -38754.76, -36542.7, -42234.25, -40471.69]",3.687594e-05,62.6,62.6,44.97,4.9,0
2024-11-15T0,"[1180.4, -736.88, -1206.57, -675.71, 26.17, 1412.59]","[333691.97, 172222.58, 329517.4, 167543.5, 346212.53, 176179.72]","[-112164.77, -53213.84, -111450.12, -53673.8, -114986.41, -56025.62]","[-103284.51, -33280.76, -103886.44, -32553.21, -107716.68, -35790.59]","[-6774.11, 905.96, -7969.63, 5309.62]","[-68338.84, -46698.06, -70149.69, -38732.58, -78328.36, -46654.33]","[-38157.84, -40553.37, -36534.89, -42674.31, -36431.2, -42137.62]",5.328019e-05,56.3,56.3,57.96,2.2,0
2024-11-15T2,"[1175.16, -744.24, -1209.6, -659.78, 34.43, 1404.02]","[328131.2, 172779.97, 329370.06, 151141.6, 354510.8, 173312.2]","[-109973.41, -55621.03, -113730.92, -53265.07, -116233.75, -61179.57]","[-105895.41, -38937.76, -102577.47, -31451.73, -113209.98, -35034.72]","[-11834.96, 2218.95, -7508.77, 1702.33, -9549.3, 5643.99]","[-63368.76, -42034.6, -68704.6, -33543.84, -74702.7, -44643.36]","[-36341.28, -37595.39, -36175.43, -33823.36, -40013.93, -37193.8]",5.249822e-05,56.3,56.3,62.69,2.0,0
2024-11-15T3,"[1174.58, -739.97, -1206.72, -671.52, 32.14, 1411.48]","[319456.22, 165300.31, 329061.84, 151112.66, 348100.4, 175927.97]","[-117014.98, -53857.62, -117733.33, -64382.13]","[-102954.5, -32741.82, -105815.7, -27450.05, -112859.76, -34742.65]","[-10757.48, 1677.11, -5936.06, 919.17, -8034.57, 5505.4]","[-62991.7, -43821.76, -64465.1, -35927.81, -72795.78, -43321.84]","[-32971.18, -35005.14, -35180.25, -34062.57, -35927.04, -38139.86]",4.884845e-05,53.7,53.7,71.36,1.5,0
2024-11-15T4,"[1188.9, -732.65, -1205.71, -683.97, 16.81, 1416.62]","[326036.94, 171910.19, 317304.62, 164634.7, 337700.72, 171005.56]","[-115458.23, -55888.24, -111928.16, -57874.8, -115400.22, -57347.79]","[-100864.25, -28792.52, -103782.29, -30946.95, -103789.48, -34822.68]","[-11523.53, 806.78, -5040.53, -686.12, -7301.04, 5643.77]","[-60020.95, -45230.15, -60254.41, -36160.34, -69764.06, -43182.22]","[-37493.82, -42042.44, -35665.71, -38251.04, -40735.48, -40494.36]",5.68974e-05,54.4,54.4,67.22,5.2,0
2024-11-15T5,"[1177.08, -726.71, -1194.75, -677.83, 17.68, 1404.53]","[324945.84, 162906.81, 323260.44, 161437.14, 335795.38, 170898.86]","[-113976.88, -54848.39, -111510.86, -57212.27, -114301.75, -57394.29]","[-101685.54, -27336.47, -102774.39, -30751.21, -102771.06, -32356.9]","[-11641.12, 1505.04, -6557.26, 213.03, -8341.58, 5241.62]","[-63708.11, -42849.12, -68631.23, -36805.3, -73474.67, -46494.52]","[-33264.04, -38621.04, -33112.95, -36120.5, -36185.12, -39080.32]",5.34305e-05,53.6,53.6,67.32,5.2,0
2024-11-15T6,"[1173.7, -718.22, -1195.99, -684.98, 22.29, 1403.19]","[327349.8, 164591.11, 320397.3, 164801.06, 336613.03, 164009.39]","[-113261.86, -53492.99, -111291.22, -55916.21, -114626.22, -54762.29]","[-103838.4, -31261.16, -103524.53, -32244.9, -106910.56, -32388.83]","[-11110.25, 967.12, -5217.51, -345.4, -7322.25, 5514.06]","[-64608.52, -41898.18, -66803.3, -38168.48, -71628.45, -43294.79]","[-33831.64, -38116.39, -32893.55, -37372.6, -35414.62, -38274.67]",4.820648e-05,54.0,54.0,69.17,6.6,0
2024-11-15T8,"[1179.79, -729.12, -1203.24, -679.22, 23.45, 1408.34]","[325885.5, 160959.55, 317978.78, 161722.5, 331577.53, 162225.45]","[-115072.75, -54333.06, -112032.9, -56715.66, -115113.92, -55564.37]","[-101744.94, -27028.49, -105159.09, -30764.09, -103642.31, -33574.11]","[-9650.8, 1514.07, -4630.57, 129.39, -6194.77, 5204.9]","[-64606.99, -44663.66, -62766.34, -38852.51, -70760.75, -42039.29]","[-34146.47, -35699.09, -32752.71, -34800.1, -35193.44, -35493.3]",4.785797999999999e-05,58.0,58.0,67.47,5.8,27
2024-11-15T9,"[1188.76, -728.77, -1205.26, -684.27, 16.5, 1413.03]","[320121.25, 163003.72, 312441.22, 159529.28, 328161.88, 163268.14]","[-113347.06, -53812.41, -110835.79, -55922.72, -113400.62, -55676.11]","[-100627.27, -28714.09, -103100.92, -30416.09, -103445.28, -33772.77]","[-11267.92, 951.17, -5122.17, -547.89, -7175.53, 5507.69]","[-63064.3, -44602.31, -62606.2, -37667.95, -70565.35, -42770.89]","[-31172.41, -36100.7, -30166.96, -34286.7, -32913.23, -35808.65]",4.712682e-05,63.4,63.4,55.66,7.1,402
2024-11-15T10,"[1187.5, -723.24, -1196.03, -686.48, 8.53, 1409.72]","[319748.25, 161332.69, 313281.72, 157840.22, 328824.12, 164293.72]","[-115567.47, -55562.03, -112917.92, -57656.77, -115761.19, -57983.33]","[-100151.86, -28023.39, -102516.52, -29059.42, -103690.52, -33094.38]","[-9744.32, 1592.23, -5000.84, 281.63, -6524.29, 5027.79]","[-62910.39, -43278.59, -62843.1, -37116.93, -69984.14, -42515.68]","[-30748.33, -35354.07, -29401.06, -33608.59, -32209.9, -34989.45]",3.717222e-05,68.6,68.6,43.44,11.5,506
2024-11-15T11,"[1159.95, -763.53, -1223.97, -642.16, 64.02, 1405.69]","[315239.3, 161094.88, 335774.88, 163262.36]","[-109844.89, -51025.82, -115687.06, -55580.31]","[-98215.76, -27604.35, -105953.72, -25666.59, -106746.33, -35067.97]","[-11393.67, 779.91, -5627.76, -105.22, -8019.02, 5326.24]","[-64632.36, -43325.93, -63902.56, -36314.65, -72094.25, -40955.95]","[-30839.85, -35797.47, -30525.23, -34455.48, -32535.31, -36201.85]",4.31016e-05,70.5,70.5,41.47,9.5,579
2024-11-15T12,"[1182.22, -727.62, -1199.14, -680.19, 16.93, 1407.81]","[319362.8, 158214.97, 312270.03, 154377.3, 328578.2, 159497.52]","[-113146.42, -52798.66, -111188.22, -54486.12, -114048.37, -55194.58]","[-100144.06, -28958.95, -102317.29, -29311.32, -104175.11, -33289.49]","[-9811.92, 1481.61, -4907.17, 182.55, -6510.32, 5075.25]","[-64646.33, -43429.11, -63317.82, -36967.61, -71446.39, -41248.59]","[-30977.71, -33791.21, -29934.72, -33111.77, -31740.39, -34097.46]",4.248771e-05,72.9,72.9,39.81,9.9,561
2024-11-15T13,"[1179.86, -726.72, -1199.04, -679.93, 19.19, 1406.65]","[326730.38, 163406.16, 316724.16, 164467.89, 330906.72, 164055.58]","[-112682.64, -57105.36, -114273.62, -55388.94]","[-101836.02, -28409.54, -101397.56, -30660.02]","[-9733.93, 1388.83, -4666.51, 141.08, -6387.07, 5170.56]","[-65722.92, -43469.74, -66366.3, -38250.12]","[-32986.29, -39126.68, -30970.96, -37870.51, -33889.39, -38418.12]",4.426182e-05,73.6,73.6,39.89,8.7,663
2024-11-15T14,"[1182.24, -730.66, -1201.75, -679.29, 19.52, 1409.87]","[326482.9, 169901.17, 322305.8, 165610.6, 337942.78, 174029.19]","[-115947.42, -55440.06, -114921.51, -56144.18, -118345.47, -58279.64]","[-104229.45, -29200.59, -105643.11, -31444.78, -106407.03, -33884.54]","[-11108.36, 1425.8, -5897.54, 294.93, -7847.13, 5361.46]","[-63439.45, -42640.52, -65415.56, -36082.98, -72031.76, -43289.6]","[-31079.85, -43279.67, -29770.15, -41490.57, -32600.69, -43134.26]",5.245355e-05,74.0,74.0,38.34,7.5,570
2024-11-15T15,"[1179.91, -720.64, -1195.88, -683.69, 15.97, 1404.34]","[317795.8, 160674.88, 333618.7, 163638.12]","[-113142.23, -52636.23, -111018.55, -55436.61, -113277.59, -54815.88]","[-101793.73, -30408.45, -105858.47, -28720.4, -108788.24, -34824.85]","[-11534.95, 1393.11, -6305.95, -32.33, -8001.28, 5232.15]","[-63024.58, -44295.59, -63679.55, -37469.28, -71315.05, -43304.51]","[-27660.98, -34005.75, -28997.98, -31251.73, -31537.71, -35135.89]",8.829519000000001e-05,73.9,73.9,39.37,10.1,421
2024-11-15T16,"[1207.08, -714.12, -2.72, 1393.12]","[322389.16, 169357.4, 322064.66, 158658.2, 327620.25, 171882.28]","[-114886.24, -55493.5, -114240.93, -55799.9, -112989.52, -57957.04]","[-99351.24, -30533.45, -103583.11, -28676.67, -102343.63, -35801.8]","[-11020.91, 2963.95, -7847.46, 1850.31, -8554.78, 4931.71]","[-65112.98, -45380.06, -64823.75, -37940.69, -70400.89, -43074.79]","[-31365.04, -40177.23, -30927.54, -37366.38, -32634.78, -39193.63]",2.639032e-05,72.0,72.0,40.97,7.1,230
2024-11-15T17,"[1239.93, -696.17, -1212.03, -720.58, -27.89, 1416.75]","[325420.97, 183618.97, 324212.25, 163829.8, 339859.94, 177735.06]","[-112784.65, -58526.08, -115155.09, -60009.6, -111958.56, -63059.63]","[-105323.98, -38546.18, -106688.62, -26528.58, -116053.23, -35307.05]","[-11782.75, 1883.74, -6989.01, 457.45, -8196.08, 5197.6]","[-64176.24, -49252.37, -63676.45, -42766.1, -68954.98, -46549.66]","[-30667.96, -38404.04, -31077.51, -34276.52, -33960.41, -37184.39]",4.03002e-06,70.0,70.0,43.75,7.9,13
2024-11-15T18,"[1210.4, -739.51, -1227.49, -699.98, 17.1, 1439.49]","[334847.97, 186603.31, 334302.84, 188093.83, 343387.97, 195457.9]","[-115245.73, -58355.06, -115222.45, -61185.05, -116272.16, -62542.17]","[-109231.78, -34912.37, -109091.83, -40989.83, -107291.75, -39833.01]","[-10939.86, 1918.58, -6328.4, 641.32, -7826.12, 5306.35]","[-67323.59, -45186.59, -71403.05, -52736.36]","[-35035.46, -44655.09, -35606.35, -40549.02, -39829.5, -44788.35]",1.6659399999999998e-06,67.0,67.0,51.16,8.0,0
2024-11-15T19,"[1208.42, -748.85, -1233.69, -694.41, 25.27, 1443.25]","[350715.97, 172559.61, 349600.78, 161713.11, 370782.94, 174645.64]","[-124672.63, -43440.3, -124930.76, -45140.87, -127387.24, -46991.87]","[-105539.85, -34002.75, -109173.57, -30586.32, -113874.66, -37379.37]","[-10439.21, 3195.88, -7256.08, 1388.77, -7597.7, 5101.64]","[-67126.94, -49415.59, -65402.8, -43411.22, -73520.23, -47005.95]","[-42170.75, -48031.16, -42109.33, -43141.04, -47576.13, -47436.17]",6.002099999999999e-07,64.5,64.5,58.52,5.6,0
2024-11-15T20,"[1205.57, -742.38, -1226.69, -694.79, 21.11, 1437.17]","[347117.78, 171005.27, 345618.53, 167317.88, 360457.72, 176365.47]","[-124351.52, -41739.1, -123919.01, -43704.59, -126439.44, -44762.77]","[-108517.58, -31950.62, -110793.68, -37750.13]","[-10255.29, 3199.97, -7170.14, 1512.41, -7562.68, 5079.83]","[-72344.35, -54499.64, -70783.93, -51291.7, -76483.95, -53906.85]","[-34815.63, -44277.95, -34484.75, -41044.15, -38377.12, -44121.12]",-8.1662e-07,62.3,62.3,64.02,5.4,0
2024-11-15T21,"[1202.99, -749.15, -1231.06, -689.73, 28.07, 1438.88]","[344211.38, 151613.69, 341838.84, 155921.19, 350329.53, 159741.36]","[-123827.69, -41584.95, -123660.31, -42916.87, -126671.41, -44538.82]","[-103982.74, -31296.23, -106102.24, -34308.39, -105903.14, -36622.77]","[-10144.43, 3401.66, -7464.46, 1803.93, -7744.9, 4980.38]","[-68040.59, -43795.05, -66543.87, -42544.04, -70468.76, -43913.22]","[-37525.63, -37559.52, -37376.98, -37175.46, -38842.34, -38857.61]",7.982099999999999e-07,62.0,62.0,64.65,4.2,0
2024-11-15T22,"[1205.85, -739.68, -1225.14, -696.61, 19.29, 1436.28]","[338435.88, 182590.86, 342110.2, 179728.67, 353452.88, 192939.72]","[-116187.62, -59741.84, -115762.05, -60864.88, -118641.34, -62795.07]","[-106002.82, -33598.93, -106752.89, -36403.29, -107381.01, -37571.47]","[-9579.15, 3659.88, -7757.15, 2091.85, -7618.28, 4517.05]","[-65182.05, -47117.2, -68543.34, -42041.55, -73322.35, -49517.08]","[-40748.84, -44962.28, -42545.34, -41664.49, -45689.86, -46669.64]",-9.5565e-06,59.3,59.3,74.41,4.7,0
2024-11-15T23,"[1211.14, -745.42, -1228.03, -696.09, 16.89, 1441.51]","[344032.5, 165691.7, 343120.78, 160917.06, 357709.22, 172744.83]","[-126957.41, -46846.38, -124679.41, -47465.21, -129092.29, -48457.16]","[-107298.84, -32458.43, -108956.39, -35921.25, -108425.53, -38236.81]","[-10851.61, 3595.08, -9089.26, 2184.32, -9127.88, 4409.53]","[-61552.96, -47255.59, -63836.24, -40333.86, -70366.84, -48163.52]","[-36681.02, -41946.45, -35869.02, -38601.34, -39951.9, -41455.73]",-3.044942e-05,58.5,58.5,76.72,6.2,0
2024-11-16T1,"[1179.1, -783.44, -1266.76, -641.88, 87.65, 1425.33]","[335607.94, 181743.88, 342026.62, 176610.8, 349134.4, 185474.7]","[-113679.16, -59690.64, -115647.72, -61634.14, -114951.91, -62622.87]","[-105675.48, -34077.38, -107485.93, -30219.86, -111626.55, -33579.12]","[-10005.59, 2052.94, -5908.74, 902.09, -7054.02, 5105.78]","[-64650.7, -47399.97, -68491.21, -41290.86, -73075.95, -47927.02]","[-40867.89, -41805.41, -43763.65, -43544.29, -41641.86, -45565.97]",3.694279e-05,58.9,58.9,78.67,6.7,0
2024-11-16T3,"[1216.49, -742.05, -1236.18, -703.38, 19.69, 1445.43]","[332243.5, 182254.8, 332379.34, 173489.39, 349718.72, 184615.27]","[-115886.31, -60084.64, -113948.93, -63077.54, -115669.52, -62174.47]","[-105593.66, -33467.86, -109285.63, -30692.89, -113073.65, -36633.81]","[-10278.42, 2469.83, -6297.71, 548.88, -6871.5, 5014.11]","[-66741.04, -50095.09, -69243.01, -44012.19, -75254.9, -50901.03]","[-33048.54, -40291.57, -32927.96, -35492.09, -38085.45, -39057.57]",3.205023e-05,60.1,60.1,78.35,6.2,0
2024-11-16T4,"[1213.09, -743.81, -1231.7, -698.29, 18.61, 1442.1]","[325544.38, 176622.22, 322686.47, 171528.4, 337541.47, 180057.22]","[-115316.07, -58431.96, -113778.05, -60884.23, -115588.22, -61240.3]","[-103958.73, -30657.51, -106038.34, -33329.96, -105761.44, -35745.52]","[-10321.87, 2258.46, -5964.07, 331.9, -6741.31, 5085.12]","[-64096.9, -49451.16, -63413.68, -41990.48, -71944.36, -47156.75]","[-31193.27, -39597.49, -32857.47, -34938.68, -36807.6, -40210.84]",3.353976e-05,62.2,62.2,77.37,6.6,0
2024-11-16T5,"[1213.12, -747.59, -1234.72, -697.6, 21.6, 1445.19]","[337734.97, 190653.84, 336077.56, 181705.2, 354543.5, 193855.78]","[-117386.58, -61392.78, -115483.45, -64840.11, -116818.15, -64549.07]","[-103100.87, -33533.08, -108352.97, -28582.81, -113332.89, -37574.57]","[-10140.53, 2137.09, -5423.51, 132.29, -6307.7, 5243.32]","[-67756.81, -51406.41, -65293.8, -43590.32, -75211.77, -47486.48]","[-38613.31, -45626.5, -40816.5, -44025.47, -42071.53, -48583.89]",3.455088e-05,63.3,63.3,77.96,8.3,0
2024-11-16T6,"[1211.37, -747.07, -1233.67, -693.6, 22.29, 1440.66]","[324339.7, 174313.44, 335394.47, 181911.88]","[-118084.95, -59336.11, -114670.63, -62385.88, -116688.4, -60869.03]","[-103267.43, -29726.12, -106988.82, -32897.57, -105242.52, -36539.68]","[-10006.46, 3191.71, -8319.63, 2067.68, -8489.65, 4098.87]","[-62737.85, -48405.21, -62123.27, -41104.39, -70282.66, -46203.41]","[-31800.01, -41247.38, -31595.55, -39268.5, -34002.11, -41620.39]",3.533908e-05,63.4,63.4,78.92,7.1,0
2024-11-16T7,"[1194.84, -750.66, -1258.19, -673.94, 63.35, 1424.59]","[324987.4, 184656.67, 331499.03, 172508.98, 345489.53, 179332.42]","[-126465.94, -62550.14, -121022.34, -72053.38, -117968.07, -60803.36]","[-102008.33, -37264.14, -107024.91, -27379.6, -114713.18, -34793.17]","[-8287.01, 4767.32, -9383.87, 4894.97, -8933.17, 4100.71]","[-59677.39, -49834.56, -64262.42, -41020.65, -71117.17, -48496.95]","[-27921.67, -39066.97, -29193.64, -36259.36, -32019.67, -38505.92]",3.710754e-05,63.8,63.8,79.71,7.0,22
2024-11-16T8,"[1209.91, -741.21, -1225.67, -696.41, 15.76, 1437.62]","[325088.75, 175267.48, 336281.22, 178316.36]","[-119467.88, -59727.61, -115680.35, -61979.14, -118841.08, -60897.3]","[-100363.04, -28127.54, -103848.77, -30109.72, -103417.8, -34283.23]","[-10109.02, 2792.53, -6776.87, 956.9, -7147.97, 4764.46]","[-63650.07, -47956.88, -64507.74, -39952.97, -72708.9, -46904.27]","[-30863.44, -41530.48, -29319.2, -38284.77, -33485.68, -40228.31]",3.677397e-05,64.5,64.5,77.86,5.8,96
2024-11-16T9,"[1204.02, -737.9, -1219.26, -693.71, 15.25, 1431.61]","[322498.38, 174517.11, 318303.88, 174843.14, 329201.88, 180785.81]","[-117521.36, -62215.36, -114752.95, -65298.91, -116729.47, -64883.96]","[-104759.8, -30026.51, -105024.68, -37416.03, -101657.52, -36316.17]","[-8206.33, 3696.86, -6709.23, 2400.35, -6620.79, 4382.81]","[-62067.1, -48292.05, -62518.86, -40190.03, -71026.3, -46909.55]","[-29315.8, -36970.83, -28679.56, -33639.92, -32510.33, -36316.44]",3.641778e-05,68.5,68.5,70.66,5.6,188
2024-11-16T10,"[1221.77, -714.63, -1217.09, -718.5, -4.68, 1433.13]","[326005.94, 167957.95, 339542.44, 176012.48]","[-118214.08, -59711.14, -115203.9, -63942.79, -115971.98, -61144.12]","[-101942.62, -30432.62, -106685.33, -27920.86, -109192.65, -34345.08]","[-8603.7, 2453.15, -4943.39, 716.49, -5442.2, 4809.1]","[-67084.91, -46681.52, -69332.74, -40892.71, -74957.73, -47071.06]","[-29825.76, -38709.32, -33271.93, -37464.07]",3.625764999999999e-05,72.4,72.4,65.09,7.1,236
2024-11-16T11,"[1209.32, -736.98, -1225.89, -699.04, 16.58, 1436.02]","[318375.94, 164589.22, 318277.9, 167863.5, 324608.7, 173415.45]","[-115067.73, -57707.4, -113836.86, -61354.76, -114553.23, -61058.92]","[-101744.49, -27875.86, -102293.03, -34651.62]","[-8516.62, 2746.62, -5410.54, 997.72, -5672.73, 4609.67]","[-64064.18, -44090.71, -64105.56, -40427.88, -69070.62, -44046.48]","[-28379.71, -36980.69, -29371.98, -33766.32, -32387.51, -37554.85]",3.403799e-05,76.2,76.2,58.09,6.0,269
2024-11-16T12,"[1209.51, -737.77, -1221.24, -696.57, 11.74, 1434.34]","[321733.62, 167399.2, 315793.62, 167081.92, 327288.53, 171817.58]","[-120797.75, -60275.4, -115531.84, -62344.48, -119432.55, -60294.57]","[-100869.88, -27056.98, -103161.78, -31055.06, -101461.33, -33373.02]","[-8538.34, 2861.8, -5593.7, 1142.03, -5830.48, 4556.51]","[-61409.12, -45671.66, -61119.21, -39906.56, -67742.81, -44778.7]","[-29524.89, -36586.57, -29796.98, -34251.47, -32199.39, -37225.42]",3.4169449999999995e-05,78.6,78.6,54.22,10.0,357
2024-11-16T13,"[1227.07, -697.65, -1212.83, -713.7, -14.23, 1411.35]","[319429.22, 176099.61, 323711.1, 162890.97, 333048.4, 175408.42]","[-116392.74, -64250.29, -114992.78, -65580.44, -114533.88, -64496.34]","[-102023.01, -27897.39, -106458.09, -24990.1, -106878.17, -30889.79]","[-8611.82, 2218.12, -4979.42, 669.04, -5482.81, 4563.34]","[-63607.72, -47557.04, -67909.47, -39413.07, -72745.82, -47660.75]","[-28174.05, -37912.92, -28757.52, -32883.2, -32714.56, -36142.08]",3.009216e-05,78.7,78.7,50.87,13.3,303
2024-11-16T14,"[1212.88, -741.42, -1226.07, -698.34, 13.18, 1439.76]","[321666.6, 173060.33, 314388.44, 170651.05, 328566.03, 175388.8]","[-115755.02, -60145.7, -113305.55, -63742.62, -114415.88, -63353.62]","[-101867.15, -28237.39, -103218.39, -32057.97, -102231.17, -33648.64]","[-8607.98, 2674.12, -5201.79, 849.07, -5573.02, 4720.11]","[-64224.11, -48794.5, -62898.56, -40447.8, -72421.17, -45793.58]","[-30585.41, -37848.89, -29168.89, -34579.53, -33276.2, -36580.62]",3.5389369999999995e-05,79.4,79.4,51.39,12.2,233
2024-11-16T15,"[1210.48, -741.77, -1224.74, -695.96, 14.25, 1437.73]","[323744.62, 172407.69, 316547.2, 170288.05, 330456.06, 175180.34]","[-119605.02, -59987.65, -116428.16, -61776.75, -119600.3, -61750.73]","[-101522.21, -27846.52, -103149.04, -32328.67, -101435.2, -33895.2]","[-8715.07, 1897.16, -5072.13, 617.95, -6036.17, 4400.79]","[-64588.66, -48063.3, -63159.57, -41714.4, -70974.7, -46030.11]","[-28693.72, -37707.28, -28140.69, -34411.27, -31770.67, -37183.42]",4.2455109999999993e-05,79.8,79.8,51.98,12.8,228
2024-11-16T16,"[1205.14, -741.79, -1223.26, -692.44, 18.12, 1434.23]","[317686.8, 164037.42, 327958.53, 178365.34]","[-114003.94, -57547.92, -112327.41, -59094.62, -114999.52, -60176.66]","[-97830.95, -26401.69, -103159.82, -30672.17, -99813.46, -35349.27]","[-4684.48, 428.15, -5315.4, 4781.59]","[-64740.77, -48000.15, -66970.02, -39798.88, -74740.83, -48141.25]","[-28336.05, -37323.45, -29929.25, -34204.47, -32423.35, -38727.66]",1.92942e-06,78.6,78.6,54.85,10.0,150
